id,label
3037,-1841.4459121247276
1760,-222.7066053025059
4212,1361.24703004001
1552,-336.22491595500213
4020,-1900.3321287267229
3205,-1332.3485480661468
4444,2397.842267799156
3661,4411.74129204891
2581,-590.0163665250369
3453,-2759.4109731563553
1304,5258.239701471815
4676,3888.434827960597
2924,2677.4602105447334
2118,-2993.056076348841
4815,-388.0663145010718
4029,-2185.6393460483714
3802,-1380.335125681544
1769,-139.66962269625404
2588,-2689.255838095902
1903,-240.23492315335483
3668,1326.3148410691358
2127,3504.80511156506
2315,2462.803574283969
1590,-2553.975825420134
5130,5804.978331304311
2771,-1625.896910546412
4486,323.1721166112383
3491,-4080.4411833147346
2543,1085.8961488155205
3657,4426.148990003929
2785,-724.5959340746512
4472,3116.534636747303
1332,2066.543140441674
4640,3193.315505514459
3465,-3481.4063328832885
1756,-88.82814344926017
4224,1683.7580455098387
3001,164.53183239216781
3233,3864.495624193412
1564,-4412.628431031694
4016,-2055.428016697285
1904,2253.5393165420332
4678,4534.7752947050485
3805,-1509.925025170995
3039,-2554.512820949413
4812,-432.5190425263644
2923,1420.3823387404898
5108,1115.6063383970004
2749,4152.213012585222
3234,72.0933761342091
1563,-3497.331130795999
4011,-4784.288092953502
1751,-1902.7074190943104
4223,2473.8698321204884
3006,-1665.2743713150137
1335,-74.3900347556615
4647,780.2691872021501
3462,-3342.168432094976
3650,535.3013965783929
2782,469.68391342149556
4475,826.7699390629924
3496,-2293.581596956263
2544,-981.8743220434485
2776,1003.875636887398
4481,3411.227185337834
2312,-188.13810332039455
1597,-863.9532072029376
5137,4637.892104077387
2120,2117.094773856093
2180,-3364.9980098859237
3052,-1770.2833429783593
4277,4449.4957963159695
1705,-1159.2711178461043
4045,-3429.6982499781407
5197,-1527.0491363443032
4879,-793.0284493537624
1537,-1827.664860641112
3260,877.3728265113573
4421,-624.4048118393832
3604,413.48878759234384
3436,-3234.679912072538
4613,-2128.619965178264
1361,2291.8941476048526
2722,1060.4498153884224
2510,361.6462537925012
1395,-267.51107294792536
2174,-1156.829090013572
2948,1735.1039059007903
4283,4550.016853867541
5163,-356.9163220730738
2346,-432.4404448515355
3294,-191.10878926164384
3409,3177.4012093694005
1950,930.7289497756175
4846,-1173.4009591149165
1508,3249.311378457567
4248,19.144631674236056
2983,1781.0238244092166
3851,-4354.77762490883
2379,-354.4539169801725
3099,92.1759334689713
2977,-1114.5691991002504
5164,298.6452368092831
2341,-2197.0013292532713
3293,7843.453077813387
2173,157.56752193687214
4284,4101.342677194003
2517,-386.9696049992221
1392,1274.1366372546763
2725,-1535.0074918281666
3431,-3360.509655825457
4614,189.4801319345504
1366,407.2803884213504
1968,-213.2011175536049
4426,-213.2480671597497
3603,-550.6452314202722
4042,-2771.088133689543
5190,-2730.2896638140855
1530,-2089.144559092657
3267,-1183.5356454312355
2187,-2352.561264699799
3055,-5938.577626699032
3869,-5376.121447311345
4270,3306.502778425332
1702,-1003.276770770837
2528,455.1340557077042
2970,2455.192262890649
4089,-1690.5034925459627
2984,-1218.2670892950152
3856,-3547.0026450873274
3258,3270.7173455027946
4841,-2789.351257485099
1957,3272.4055129327444
4419,338.4937093413188
1359,-607.2573945162763
2521,-501.2530681742967
2713,613.5703523082373
2377,730.3133566463922
5152,-1928.2749140611845
4080,-3160.0350566422358
3097,-1330.3291889843297
2145,3277.3172193874584
2979,-975.3031916099826
3251,3051.49696519834
2383,-608.3968536924308
4074,-3513.3725763294487
1506,1484.6306343278318
4848,-2279.1538017598596
4246,560.2072056825425
1734,-1203.1048545925958
3063,-3409.9431362165287
4622,3068.2005895725433
1350,2174.257640838706
3407,3294.2241104532695
3635,1196.4402961082765
4410,2937.5295978228355
3894,-5177.092610907079
2946,-982.7971609916333
4883,-1379.8715867233327
2348,-2214.0381767423846
1995,-2348.305246559967
1961,4555.929285123108
3438,-3493.036101188785
3860,-6753.418989223466
4279,2054.361458492833
5199,-479.1181167403043
1539,-1116.4928076272904
4877,-517.7387581487068
3632,3787.0568765424364
4417,3149.558371318524
1959,2269.2593413462696
4625,-867.5880515716021
1357,8.373109727796319
3400,3292.381189914794
4241,4365.68218268446
1733,1487.0227533347684
3064,170.24176975784889
3858,-3419.217449200962
3256,-3502.330601877433
2384,982.4605616688671
4073,2903.015042938033
1501,1670.580062030198
3090,2834.2051790590763
2142,2679.854272912589
2370,1591.0719133506889
5155,-4657.477768462697
4087,-528.7250527276514
2714,115.08400422093763
2526,2803.3298384715845
4870,603.3719335525798
3269,2342.769203623117
2189,-58.41321320089274
3867,-5731.298721578262
1368,1494.19020038266
4428,-690.6382181318892
1966,2660.7875013321836
2519,-677.5615407547921
1992,2095.822956031516
4884,-3302.751018157591
3893,-5211.688900735795
2941,4513.139612191098
5018,1713.0904629850381
2833,-705.5955852481655
2659,1906.5695401119358
4768,-3739.5807094892134
1814,-1073.0050966714325
4902,-1423.5335794756525
3915,-4951.166249819671
3129,2162.28918257716
2666,1800.1980847745501
4591,-477.94545457099696
2454,-1659.0511595346043
3586,1853.8891323861187
5215,-829.780813097596
2030,4049.138354336696
2202,1058.5610464069728
1487,2172.906496583204
5027,2743.310888176902
1641,-2247.2656568310367
4333,1943.2167963034783
3116,2043.6627588598092
3324,8707.406500496729
1473,-1985.9985502102716
4101,-2868.1463259085776
2692,1182.31172520545
3740,-1346.067265142663
4565,1190.561512922706
1225,493.57059972045874
4757,-145.43674511270532
3572,1758.1108444028173
3912,-4993.347622149167
1679,-1422.6814810099759
4905,-1594.2786558137477
4139,960.5214134129382
1813,675.8500187583885
3778,-2469.403881397791
2498,-51.742771139598446
2834,-1124.9399092927988
2008,1951.6970837910717
4750,1207.1707447719987
3575,-553.5677424060847
2695,-552.576253268971
3747,-2574.8499881772786
4562,4229.845948800869
3323,796.4663183841935
1474,-8.717975867199533
4106,2161.752496305143
1646,-2925.424481132326
4334,929.1350151820811
3111,1491.0457703456354
2205,3073.179315948518
1480,-755.9601946735227
5020,-1757.1662209152323
5212,-1558.4701715584501
2037,1661.8552703862433
2453,754.6904496547584
3581,1901.0038376963148
2661,5303.733052859804
4596,2661.979036310347
1825,1418.4699218687686
4759,-1724.8075918110605
3924,-4503.1559517068445
3118,-1804.8697066948155
4933,-1425.3535568591005
2802,-2909.6843303454853
1489,2918.6388288738044
5029,3982.8671719322365
2668,1322.7457504038434
3588,965.3768635203027
1442,441.75052042338615
4130,1654.7378449981995
3315,884.8808544773315
3127,1452.3847713813868
1670,-813.254391502022
4302,1151.0866705838816
3543,-2871.300237658865
2491,3188.415689516746
4766,-94.26708880344252
4554,2858.7003504119366
3771,-1976.182569393347
2465,-1353.952860096585
4792,-1502.7174493937696
3785,-3056.7355240979696
2657,222.67133377358593
5016,4200.78003347017
2233,414.4564852862269
2001,-359.3903475047093
1684,-2737.9570870496004
4598,9.983650899480647
2805,-507.97389242719197
2039,2087.052939622773
4934,-611.8875034515602
4108,2367.11983713867
1648,-1863.7216491086317
