id,GLOBAL_SCORE
EK202310003556,123.66760290933668
EK202310170625,156.5286273857867
EK202310167359,149.97132586853368
EK202310118370,132.68372229969825
EK202320006361,160.2533633753504
EK202310003542,137.48841601781754
EK202310125266,145.38148079936175
EK202310144740,137.47099406793788
EK202310137443,143.34232152998106
EK202310159067,154.81624666620505
EK202310245067,132.5423147386277
EK202310240556,129.66575738739022
EK202310166743,146.19861374508469
EK202310247454,123.12828414485872
EK202310215702,149.5033125717524
EK202310142190,153.9044841235579
EK202310205417,131.01548901186732
EK202310119601,137.52411866532978
EK202310190356,127.18697872309718
EK202310158758,136.91161257488497
EK202310145496,124.13860362338934
EK202310164763,142.25504272541124
EK202310200188,132.85670359040344
EK202310238803,153.24924196177366
EK202320005607,166.11632646513053
EK202310225681,142.37728653889837
EK202310127174,131.271263190937
EK202310204317,146.09329257650217
EK202310179355,134.47665313442258
EK202310176524,156.09807735289968
EK202310237228,136.74640736034377
EK202310172549,160.49427762593407
EK202310168863,138.55480034332396
EK202310185904,154.10958708177475
EK202310133615,159.39433146439748
EK202310122063,130.63233805126106
EK202310121770,138.88125935072628
EK202310125590,131.85195662526792
EK202310172269,133.31069652563215
EK202310147894,132.6633120207976
EK202310137986,139.84747688770554
EK202310150838,135.94252341710217
EK202310104915,135.88724901996662
EK202310170090,130.50983894977563
EK202310165637,135.42645278535292
EK202310134467,131.9948648943791
EK202310182637,154.0828942530547
EK202310112116,146.03612047087074
EK202310241220,147.21265337581303
EK202310103801,145.03815241438284
EK202310177448,123.78647933566555
EK202310157860,173.85934238657416
EK202310211985,140.3909561950728
EK202310232907,138.7340124428541
EK202310162917,134.41904088533772
EK202310211786,127.94940611235104
EK202310132171,152.97655847739202
EK202310153694,148.75457962146254
EK202310174960,163.86791569959894
EK202310121096,129.28629262452426
EK202310222475,122.76528571332759
EK202310146254,154.01436921181593
EK202310111466,136.8440108961641
EK202310004385,169.12223365747846
EK202310108961,143.38056888977306
EK202310203170,134.77290562133365
EK202310161424,177.79609907390324
EK202310206583,137.82748585786024
EK202310138840,134.31590635466318
EK202310221976,143.53341356888834
EK202310143972,137.58901523555556
EK202310175420,135.95052860664316
EK202310227655,132.8783675715565
EK202310163389,139.1682925023242
EK202310239480,140.42079944257875
EK202310146467,140.87507890229833
EK202310162597,139.0696350298578
EK202310194862,142.5506443997552
EK202310152448,138.2916515602865
EK202310245431,146.63809163344993
EK202310206822,162.35303016471187
EK202310166559,163.7775511324076
EK202310221701,170.4865571943954
EK202310231403,122.75037643217041
EK202310156027,143.97761950025006
EK202310135956,145.65745492582403
EK202310183176,131.48663161217195
EK202310206055,163.8052822453243
EK202310167360,138.78194964926254
EK202310142701,142.80173510786193
EK202310156629,168.00885493179345
EK202310241352,145.03066493730728
EK202310123587,155.13750393205427
EK202310003639,146.73083743523193
EK202310158269,158.04197150189358
EK202320007090,158.30437461015816
EK202310111707,135.43721051756808
EK202310104096,151.1172395874494
EK202310235404,118.826857841385
EK202310108783,144.4256120919698
EK202310116298,137.04427264257373
EK202310156281,157.40880175478557
EK202310164483,132.77988078917957
EK202310108212,113.49987219373754
EK202310233950,136.04768626662437
EK202310157041,136.33934314461342
EK202310104522,139.66002426599945
EK202310175972,156.8394132439657
EK202310225965,142.39658796499612
EK202310138403,141.51319121022414
EK202310234452,137.5530897017251
EK202310104614,157.416983343517
EK202310117970,132.70860365923116
EK202310128727,140.70625403195027
EK202310190230,138.71885390912496
EK202310201465,149.95950423525227
EK202310197534,160.36160532757646
EK202310171846,128.61830239340756
EK202310193751,149.84370202834887
EK202310242967,137.9950189669168
EK202310112852,163.30301057598138
EK202310132804,153.37607753299955
EK202310127612,141.4123937599007
EK202310136082,179.33266206929727
EK202310186665,160.19000599727775
EK202310156519,141.58261412745043
EK202310108430,146.58293639357524
EK202310164930,139.32833337596898
EK202310153971,158.45784850054477
EK202310129412,128.8563362849777
EK202310124383,133.10291825606774
EK202310215858,151.2714334730927
EK202310104131,146.58525352669534
EK202310185040,136.4667606363176
EK202310119251,150.6119317030979
EK202310191724,153.9575727921378
EK202310149922,131.66151347508378
EK202310176193,152.79856986621186
EK202310204311,150.4279686469961
EK202310248324,155.41435943566415
EK202310120496,140.87874397271983
EK202310233548,135.8256507416391
EK202310219178,140.50049002606661
EK202310114723,136.30121789393158
EK202310185832,156.05123562032804
EK202310106587,150.2196392480282
EK202310239252,137.65987237230814
EK202310208710,148.03738631740117
EK202310244056,125.32595408576802
EK202310223702,120.61363753763695
EK202310236969,135.34578478787054
EK202310196070,146.22050680475016
EK202310227710,136.9470631367635
EK202310119702,139.53617338784338
EK202310143351,138.72441916035348
EK202310144967,138.2518761840049
EK202310207097,143.23749087516592
EK202310193281,135.61892454202092
EK202310223068,146.4166840448578
EK202310158743,144.39538328536545
EK202310142353,145.77867117087166
EK202310154024,148.68162012355475
EK202310136326,138.58479820169822
EK202320006526,155.17152062087322
EK202310240160,144.49722050236517
EK202310230270,134.76704478304896
EK202310209591,145.20421619729535
EK202310201937,148.16429452270904
EK202310138686,158.5691082101613
EK202310125946,144.38608955755552
EK202310112949,147.87654149091796
EK202310128660,162.17505264737542
EK202310223565,144.42220513317648
EK202310155372,158.03655318918535
EK202310229467,141.07896281830114
EK202310232289,146.12456244616342
EK202310142439,160.4016135818455
EK202310128595,139.01820124976362
EK202310228661,128.78044050538819
EK202310220811,136.13874851809203
EK202310104677,147.1370624904575
EK202310108708,150.560369072149
EK202310235044,122.71853786063475
EK202310141363,144.70064940495794
EK202310174855,148.23046455367893
EK202310154755,136.29426085553789
EK202310157326,146.39753844545203
EK202310228659,139.5384058400246
EK202310215026,151.94099306273338
EK202310177129,138.79734724853049
EK202310178830,166.33486078826374
EK202310222959,125.75173810024594
EK202320007347,133.13940627744006
EK202310153807,162.88608138851814
EK202310165563,160.7884092039431
EK202310240070,145.33180196288964
EK202310171642,142.83237349147217
EK202310221419,143.95916661405553
EK202310210258,145.293452860693
EK202310108225,152.36137265148142
EK202310156515,139.4940243393174
EK202320006021,161.83029953414982
EK202310214746,143.13165416304517
EK202310166648,156.1928643916579
EK202310243041,139.72382443886076
EK202310227731,114.17914593722094
EK202310118513,135.40224208485017
EK202310240129,149.65170657065684
EK202310140813,144.73839986537757
EK202310181628,144.02228411825106
EK202310126085,129.43321806723466
EK202310246101,137.82050321072293
EK202310113312,126.85189719850658
EK202310217968,134.90956393887194
EK202310213114,131.38949154608392
EK202310219800,153.7626728278564
EK202310184495,150.49609944111666
EK202310119316,129.9169636393938
EK202310180007,136.04133763973192
EK202310199156,133.27252502458632
EK202310177234,152.23934752481497
EK202310226743,136.52792906489285
EK202310189141,143.99336644639138
EK202320006005,142.77919211544267
EK202310227823,139.5833137630986
EK202310174022,145.90257083612187
EK202310134374,134.08012790969056
EK202310200180,122.05114219498728
EK202310161433,146.26108714215385
EK202310121700,141.01890247567877
EK202310237451,136.50919262878273
EK202310192827,156.3071001664659
EK202310160428,153.85080246679473
EK202310205223,137.16214116898993
EK202310111659,150.37224225757174
EK202310218773,139.86463572170962
EK202310161247,140.62333598386567
EK202310109618,141.98419466371354
EK202310155619,137.30591873496874
EK202310135096,158.46921652162706
EK202310188704,140.04367363874658
EK202310198311,153.49922236373686
EK202310138345,124.72492590318487
EK202310187653,135.9437298816297
EK202310223676,153.24847002474237
EK202310165688,136.07235408319028
EK202310104779,143.31134394379708
EK202320007241,172.31792246130658
EK202310247012,141.2745348919261
EK202310115649,124.98522301910137
EK202310158687,145.28137056909225
EK202310139898,138.24601912025972
EK202310183012,142.93649810974486
EK202310189323,169.98427030998695
EK202310236084,150.3446949590808
EK202310187745,140.4269512275854
EK202310213754,155.9016040564371
EK202310207691,125.97479852951804
EK202310213360,138.32574432584872
EK202310134511,135.90486002532845
EK202310162421,141.4430541062148
EK202310137854,141.9354972556339
EK202310150901,144.03348089130125
EK202310114810,136.3771728597792
EK202310110564,137.33526447986446
EK202310188498,117.20080867540447
EK202310122137,130.2546223078772
