example_id,TARGET
13000,0.8000000142019226
13001,0.7999999142049449
13002,0.7999996142079933
13003,0.7999991142111427
13004,0.7999984142145183
13005,0.7999975142182949
13006,0.7999964142226976
13007,0.7999951142280015
13008,0.7999936142345314
13009,0.7999919142426624
13010,0.7999900142528195
13011,0.7999879142654777
13012,0.7999856142811618
13013,0.7999831143004471
13014,0.7999804143239584
13015,0.7999775143523707
13016,0.7999744143864093
13017,0.7999711144268488
13018,0.7999676144745143
13019,0.7999639145302808
13020,0.7999600145950734
13021,0.7999559146698668
13022,0.7999516147556863
13023,0.7999471148536068
13024,0.7999424149647533
13025,0.7999375150903004
13026,0.7999324152314736
13027,0.7999271153895475
13028,0.7999216155658474
13029,0.7999159157617479
13030,0.7999100159786741
13031,0.799903916218101
13032,0.7998976164815533
13033,0.7998911167706063
13034,0.7998844170868847
13035,0.7998775174320635
13036,0.7998704178078675
13037,0.7998631182160717
13038,0.7998556186585011
13039,0.7998479191370302
13040,0.7998400196535844
13041,0.7998319202101383
13042,0.7998236208087167
13043,0.7998151214513946
13044,0.7998064221402967
13045,0.799797522877598
13046,0.7997884236655232
13047,0.7997791245063471
13048,0.7997696254023945
13049,0.7997599263560402
13050,0.7997500273697089
13051,0.7997399284458755
13052,0.7997296295870645
13053,0.7997191307958508
13054,0.7997084320748591
13055,0.7996975334267639
13056,0.79968643485429
13057,0.799675136360212
13058,0.7996636379473546
13059,0.7996519396185925
13060,0.79964004137685
13061,0.7996279432251017
13062,0.7996156451663723
13063,0.7996031472037363
13064,0.7995904493403181
13065,0.7995775515792921
13066,0.799564453923883
13067,0.799551156377365
13068,0.7995376589430625
13069,0.7995239616243499
13070,0.7995100644246516
13071,0.7994959673474418
13072,0.7994816703962447
13073,0.7994671735746347
13074,0.799452476886236
13075,0.7994375803347227
13076,0.7994224839238189
13077,0.7994071876572988
13078,0.7993916915389864
13079,0.7993759955727557
13080,0.7993600997625308
13081,0.7993440041122857
13082,0.799327708626044
13083,0.7993112133078799
13084,0.7992945181619171
13085,0.7992776231923293
13086,0.7992605284033404
13087,0.799243233799224
13088,0.7992257393843039
13089,0.7992080451629535
13090,0.7991901511395966
13091,0.7991720573187063
13092,0.7991537637048064
13093,0.7991352703024702
13094,0.7991165771163211
13095,0.7990976841510323
13096,0.7990785914113271
13097,0.7990592989019788
13098,0.7990398066278103
13099,0.7990201145936947
13100,0.7990002228045552
13101,0.7989801312653646
13102,0.7989598399811458
13103,0.7989393489569717
13104,0.7989186581979649
13105,0.7988977677092982
13106,0.7988766774961944
13107,0.7988553875639256
13108,0.7988338979178147
13109,0.7988122085632339
13110,0.7987903195056055
13111,0.7987682307504019
13112,0.7987459423031453
13113,0.7987234541694077
13114,0.7987007663548112
13115,0.7986778788650278
13116,0.7986547917057792
13117,0.7986315048828375
13118,0.7986080184020241
13119,0.7985843322692108
13120,0.7985604464903189
13121,0.7985363610713201
13122,0.7985120760182356
13123,0.7984875913371368
13124,0.7984629070341448
13125,0.7984380231154307
13126,0.7984129395872154
13127,0.7983876564557697
13128,0.7983621737274147
13129,0.7983364914085209
13130,0.7983106095055088
13131,0.798284528024849
13132,0.7982582469730617
13133,0.7982317663567173
13134,0.7982050861824361
13135,0.798178206456888
13136,0.7981511271867927
13137,0.7981238483789204
13138,0.7980963700400906
13139,0.7980686921771729
13140,0.7980408147970867
13141,0.7980127379068015
13142,0.7979844615133365
13143,0.7979559856237607
13144,0.797927310245193
13145,0.7978984353848025
13146,0.7978693610498078
13147,0.7978400872474775
13148,0.7978106139851299
13149,0.7977809412701334
13150,0.7977510691099063
13151,0.7977209975119166
13152,0.797690726483682
13153,0.7976602560327706
13154,0.7976295861667997
13155,0.7975987168934369
